gene_id	gene_name	mean_methylation	median_methylation	n_sites	mean_cov
ENSG00000159216.19	RUNX1	0.0328719723183391	0.0	2312	1.0
ENSG00000044115.21	CTNNA1	0.05365193868349865	0.0	2218	1.0
ENSG00000166225.9	FRS2	0.046538024971623154	0.0	1762	1.0
ENSG00000147050.18	KDM6A	0.05600461893764434	0.0	1732	1.0
ENSG00000115170.16	ACVR1	0.050597976080956765	0.0	1087	1.0
ENSG00000253404.1	CTNNA1-AS1	0.05583756345177665	0.0	985	1.0
ENSG00000102900.13	NUP93	0.03556910569105691	0.0	984	1.0
ENSG00000124151.19	NCOA3	0.04861878453038674	0.0	905	1.0
ENSG00000196092.14	PAX5	0.06716417910447761	0.0	804	1.0
ENSG00000185920.19	PTCH1	0.04177215189873418	0.0	790	1.0
ENSG00000163161.14	ERCC3	0.06666666666666667	0.0	750	1.0
ENSG00000064489.23	BORCS8-MEF2B	0.0547945205479452	0.0	730	1.0
ENSG00000213999.17	MEF2B	0.0547945205479452	0.0	730	1.0
ENSG00000111252.11	SH2B3	0.018465909090909092	0.0	704	1.0
ENSG00000185345.25	PRKN	0.043041606886657105	0.0	697	1.0
ENSG00000118007.13	STAG1	0.062409288824383166	0.0	689	1.0
ENSG00000184675.11	AMER1	0.042483660130718956	0.0	612	1.0
ENSG00000083168.11	KAT6A	0.04195804195804196	0.0	572	1.0
ENSG00000157654.19	PALM2AKAP2	0.020146520146520148	0.0	546	1.0
ENSG00000150672.19	DLG2	0.009259259259259259	0.0	540	1.0
ENSG00000187391.23	MAGI2	0.03544776119402985	0.0	536	1.0
ENSG00000234690.7	EPCAM-DT	0.055327868852459015	0.0	488	1.0
ENSG00000148120.19	AOPEP	0.06277056277056277	0.0	462	1.0
ENSG00000158169.14	FANCC	0.06277056277056277	0.0	462	1.0
ENSG00000143252.16	SDHC	0.04716981132075472	0.0	424	1.0
ENSG00000253438.5	PCAT1	0.026252983293556086	0.0	419	1.0
ENSG00000253363.7	ENSG00000253363	0.022900763358778626	0.0	393	1.0
ENSG00000251600.9	GUSBP5	0.02197802197802198	0.0	364	1.0
ENSG00000116044.17	NFE2L2	0.005509641873278237	0.0	363	1.0
ENSG00000213963.7	ENSG00000213963	0.005509641873278237	0.0	363	1.0
ENSG00000293158.1	RPL13AP17	0.03374233128834356	0.0	326	1.0
ENSG00000172260.15	NEGR1	0.024844720496894408	0.0	322	1.0
ENSG00000182771.19	GRID1	0.01567398119122257	0.0	319	1.0
ENSG00000181234.10	TMEM132C	0.0	0.0	306	1.0
ENSG00000163041.13	H3-3A	0.08250825082508251	0.0	303	1.0
ENSG00000196220.17	SRGAP3	0.02666666666666667	0.0	300	1.0
ENSG00000149571.12	KIRREL3	0.016722408026755852	0.0	299	1.0
ENSG00000091656.19	ZFHX4	0.010067114093959731	0.0	298	1.0
ENSG00000113368.12	LMNB1	0.04054054054054054	0.0	296	1.0
ENSG00000119650.13	IFT43	0.0547945205479452	0.0	292	1.0
ENSG00000196353.13	CPNE4	0.017241379310344827	0.0	290	1.0
