gene_id	gene_name	mean_methylation	median_methylation	n_sites	mean_cov
ENSG00000210077.1	MT-TV	0.016632016632016633	0.0	481	1.1226611226611227
ENSG00000210082.2	MT-RNR2	0.016632016632016633	0.0	481	1.1226611226611227
ENSG00000209082.1	MT-TL1	0.01078167115902965	0.0	371	1.0
ENSG00000278418.1	MIR6512	0.005509641873278237	0.0	363	1.0
ENSG00000198888.2	MT-ND1	0.011396011396011397	0.0	351	1.0
ENSG00000210049.1	MT-TF	0.024464831804281346	0.0	327	1.180428134556575
ENSG00000211459.2	MT-RNR1	0.024464831804281346	0.0	327	1.180428134556575
ENSG00000111252.11	SH2B3	0.007168458781362007	0.0	279	1.0
ENSG00000278413.1	ENSG00000278413	0.02459016393442623	0.0	244	1.0
ENSG00000198763.3	MT-ND2	0.0	0.0	234	1.0
ENSG00000210100.1	MT-TI	0.0	0.0	234	1.0
ENSG00000210107.1	MT-TQ	0.0	0.0	234	1.0
ENSG00000210112.1	MT-TM	0.0	0.0	234	1.0
ENSG00000175073.8	VCPIP1	0.0045871559633027525	0.0	218	1.0
ENSG00000260305.1	NTRK3-AS1	0.009216589861751152	0.0	217	1.0
ENSG00000288602.1	C8orf44-SGK3	0.004608294930875576	0.0	217	1.0
ENSG00000288596.2	C8orf44	0.004739336492890996	0.0	211	1.0
ENSG00000226087.4	ENSG00000226087	0.047619047619047616	0.0	210	1.0
ENSG00000210164.1	MT-TG	0.0048543689320388345	0.0	206	1.0
ENSG00000290877.1	ROCK1P1	0.015151515151515152	0.0	198	1.0252525252525253
ENSG00000198840.2	MT-ND3	0.005128205128205128	0.0	195	1.0
ENSG00000198899.2	MT-ATP6	0.010526315789473684	0.0	190	1.0
ENSG00000251884.1	RNA5SP288	0.03208556149732621	0.0	187	1.0
ENSG00000277892.1	MIR6746	0.021621621621621623	0.0	185	1.0
ENSG00000285954.1	ENSG00000285954	0.09944751381215469	0.0	181	1.0
ENSG00000228253.1	MT-ATP8	0.011695906432748537	0.0	171	1.0
ENSG00000286149.1	ENSG00000286149	0.005952380952380952	0.0	168	1.0
ENSG00000210156.1	MT-TK	0.012048192771084338	0.0	166	1.0
ENSG00000210176.1	MT-TH	0.006024096385542169	0.0	166	1.0
ENSG00000210184.1	MT-TS2	0.006024096385542169	0.0	166	1.0
ENSG00000210191.1	MT-TL2	0.006024096385542169	0.0	166	1.0
ENSG00000198786.2	MT-ND5	0.006060606060606061	0.0	165	1.0
ENSG00000198938.2	MT-CO3	0.01875	0.0	160	1.0
ENSG00000198886.2	MT-ND4	0.00625	0.0	160	1.0
ENSG00000210174.1	MT-TR	0.00625	0.0	160	1.0
ENSG00000212907.2	MT-ND4L	0.00625	0.0	160	1.0
ENSG00000287504.1	ENSG00000287504	0.03164556962025317	0.0	158	1.0
ENSG00000198804.2	MT-CO1	0.006535947712418301	0.0	153	1.0
ENSG00000210144.1	MT-TY	0.006666666666666667	0.0	150	1.0
ENSG00000264175.1	MIR3189	0.05517241379310345	0.0	145	1.0
ENSG00000210140.1	MT-TC	0.0	0.0	143	1.0
ENSG00000259603.1	ENSG00000259603	0.1619718309859155	0.0	142	1.0
ENSG00000210117.1	MT-TW	0.0	0.0	142	1.0
ENSG00000210127.1	MT-TA	0.0	0.0	142	1.0
ENSG00000210135.1	MT-TN	0.0	0.0	142	1.0
ENSG00000225770.1	RPS29P3	0.014492753623188406	0.0	138	1.0
ENSG00000224267.1	ENSG00000224267	0.014705882352941176	0.0	136	1.0
ENSG00000225360.1	ENSG00000225360	0.014705882352941176	0.0	136	1.0
ENSG00000242766.1	IGKV1D-17	0.0	0.0	136	1.0
ENSG00000236324.1	SNX9-AS1	0.02962962962962963	0.0	135	1.0
ENSG00000230176.3	LINC01433	0.04477611940298507	0.0	134	1.0
ENSG00000198712.1	MT-CO2	0.015037593984962405	0.0	133	1.0
ENSG00000233526.1	RFC5P1	0.045454545454545456	0.0	132	1.0
ENSG00000281720.1	DUX4L8	0.13076923076923078	0.0	130	1.0
ENSG00000225813.1	ENSG00000225813	0.046875	0.0	128	1.0
ENSG00000210151.2	MT-TS1	0.015625	0.0	128	1.0
ENSG00000210154.1	MT-TD	0.015625	0.0	128	1.0
ENSG00000287748.1	ENSG00000287748	0.015748031496062992	0.0	127	1.0
ENSG00000237419.1	ENSG00000237419	0.09523809523809523	0.0	126	1.0
ENSG00000115590.14	IL1R2	0.096	0.0	125	1.0
ENSG00000207941.1	MIR552	0.008	0.0	125	1.0
ENSG00000229159.1	TSPY23P	0.16129032258064516	0.0	124	1.0
ENSG00000286178.1	ENSG00000286178	0.0967741935483871	0.0	124	1.0
ENSG00000235268.2	KDM4E	0.04878048780487805	0.0	123	1.0
ENSG00000103249.19	CLCN7	0.11475409836065574	0.0	122	1.0
ENSG00000261430.1	ENSG00000261430	0.11475409836065574	0.0	122	1.0
ENSG00000278340.1	MIR6862-2	0.10743801652892562	0.0	121	1.0
ENSG00000178404.11	CEP295NL	0.09090909090909091	0.0	121	1.0
ENSG00000267491.1	ENSG00000267491	0.09090909090909091	0.0	121	1.0
ENSG00000174946.7	GPR171	0.0	0.0	121	1.0
ENSG00000252333.1	RNU6-964P	0.08403361344537816	0.0	119	1.0
ENSG00000241391.3	RN7SL234P	0.059322033898305086	0.0	118	1.0
ENSG00000158019.21	BABAM2	0.05084745762711865	0.0	118	1.0
ENSG00000277253.1	CICP28	0.06837606837606838	0.0	117	1.0
ENSG00000253412.1	IGHVIII-13-1	0.017391304347826087	0.0	115	1.0
ENSG00000199910.1	RNA5S10	0.3157894736842105	0.0	114	1.0
ENSG00000235781.1	LINC02569	0.044642857142857144	0.0	112	1.0
ENSG00000283071.1	LBHD2	0.026785714285714284	0.0	112	1.0
ENSG00000275664.1	ENSG00000275664	0.40540540540540543	0.0	111	1.0
ENSG00000275950.1	MIR6724-1	0.40540540540540543	0.0	111	1.0
ENSG00000283793.1	MIR6861	0.19090909090909092	0.0	110	1.0
ENSG00000142235.13	LMTK3	0.06363636363636363	0.0	110	1.0
ENSG00000197364.8	S100A7L2	0.00909090909090909	0.0	110	1.0
ENSG00000205111.10	CDKL4	0.11926605504587157	0.0	109	1.0
ENSG00000237073.1	ENSG00000237073	0.11926605504587157	0.0	109	1.0
ENSG00000185404.17	SP140L	0.07339449541284404	0.0	109	1.0
ENSG00000286032.1	ENSG00000286032	0.39814814814814814	0.0	108	1.0
ENSG00000286091.1	ENSG00000286091	0.39814814814814814	0.0	108	1.0
ENSG00000241695.1	GM2AP1	0.07547169811320754	0.0	106	1.0
ENSG00000281912.1	LINC01144	0.06666666666666667	0.0	105	1.0
ENSG00000224519.1	HMGN1P19	0.009615384615384616	0.0	104	1.0
ENSG00000284649.3	ENSG00000284649	0.05825242718446602	0.0	103	1.0
ENSG00000182240.16	BACE2	0.04854368932038835	0.0	103	1.0
ENSG00000263681.1	MIR3197	0.04854368932038835	0.0	103	1.0
ENSG00000286012.1	ENSG00000286012	0.13725490196078433	0.0	102	1.0
ENSG00000286057.1	ENSG00000286057	0.13725490196078433	0.0	102	1.0
ENSG00000206726.1	RNU6-259P	0.0	0.0	101	1.0
ENSG00000164821.5	DEFA4	0.02	0.0	100	1.0
ENSG00000283148.1	ENSG00000283148	0.030303030303030304	0.0	99	1.0
ENSG00000214049.8	UCA1	0.01020408163265306	0.0	98	1.0
ENSG00000252190.1	ENSG00000252190	0.061855670103092786	0.0	97	1.0
ENSG00000252691.1	ENSG00000252691	0.061855670103092786	0.0	97	1.0
ENSG00000201346.2	U3	0.010309278350515464	0.0	97	1.0
ENSG00000275708.1	MIR3648-1	0.375	0.0	96	1.0
ENSG00000293403.1	ENSG00000293403	0.07291666666666667	0.0	96	1.0
ENSG00000235522.6	ENSG00000235522	0.041666666666666664	0.0	96	1.0
ENSG00000112312.10	GMNN	0.11578947368421053	0.0	95	1.0
ENSG00000227077.3	ENSG00000227077	0.031578947368421054	0.0	95	1.0
ENSG00000289320.1	ENSG00000289320	0.0	0.0	95	1.0
ENSG00000064601.21	CTSA	0.07446808510638298	0.0	94	1.0
ENSG00000149634.5	SPATA25	0.07446808510638298	0.0	94	1.0
ENSG00000072756.18	TRNT1	0.08602150537634409	0.0	93	1.0
ENSG00000091181.20	IL5RA	0.08602150537634409	0.0	93	1.0
ENSG00000261098.1	ENSG00000261098	0.053763440860215055	0.0	93	1.0
ENSG00000281627.1	DUX4L3	0.0	0.0	93	1.0
ENSG00000271483.1	ENSG00000271483	0.06521739130434782	0.0	92	1.0
ENSG00000258954.1	ENSG00000258954	0.03260869565217391	0.0	92	1.0
ENSG00000259244.1	ENSG00000259244	0.08791208791208792	0.0	91	1.0
ENSG00000200305.1	Y_RNA	0.02197802197802198	0.0	91	1.0
ENSG00000226474.1	ENSG00000226474	0.02197802197802198	0.0	91	1.0
ENSG00000200487.1	RNA5SP322	0.011111111111111112	0.0	90	1.0
ENSG00000213608.5	SLC25A14P1	0.09090909090909091	0.0	88	1.0
ENSG00000074935.14	TUBE1	0.022727272727272728	0.0	88	1.0
ENSG00000203778.8	FAM229B	0.022727272727272728	0.0	88	1.0
ENSG00000227962.1	ENSG00000227962	0.0	0.0	88	1.0
ENSG00000258140.2	ENSG00000258140	0.0	0.0	88	1.0
ENSG00000281652.1	DUX4L7	0.13793103448275862	0.0	87	1.0
ENSG00000111907.21	TPD52L1	0.04597701149425287	0.0	87	1.0
ENSG00000136052.10	SLC41A2	0.034482758620689655	0.0	87	1.0
ENSG00000201321.1	RNA5S9	0.32558139534883723	0.0	86	1.0
ENSG00000173338.13	KCNK7	0.0	0.0	85	1.0
ENSG00000266835.7	GAPLINC	0.0	0.0	85	1.0
ENSG00000163794.6	UCN	0.08333333333333333	0.0	84	1.0
ENSG00000255811.1	ENSG00000255811	0.05952380952380952	0.0	84	1.0
ENSG00000289167.1	ENSG00000289167	0.011904761904761904	0.0	84	1.0
ENSG00000024048.11	UBR2	0.0	0.0	84	1.0
ENSG00000160360.13	GPSM1	0.30120481927710846	0.0	83	1.0
ENSG00000262075.3	DKFZP434A062	0.30120481927710846	0.0	83	1.0
ENSG00000249958.1	CCT7P2	0.012048192771084338	0.0	83	1.0
ENSG00000159527.4	PGLYRP3	0.0	0.0	83	1.0
ENSG00000225516.8	FAM197Y5	0.0	0.0	83	1.0
ENSG00000259769.1	ENSG00000259769	0.0	0.0	83	1.0
ENSG00000290330.1	FAM197Y5	0.0	0.0	83	1.0
ENSG00000111879.20	FAM184A	0.04878048780487805	0.0	82	1.0
ENSG00000102978.13	POLR2C	0.024691358024691357	0.0	81	1.0
ENSG00000260345.1	ENSG00000260345	0.024691358024691357	0.0	81	1.0
ENSG00000115507.10	OTX1	0.0	0.0	81	1.0
ENSG00000227191.8	TRGC2	0.0	0.0	81	1.0
ENSG00000231609.7	EHBP1-AS1	0.0	0.0	81	1.0
ENSG00000289222.2	ENSG00000289222	0.0	0.0	81	1.0
ENSG00000204248.12	COL11A2	0.025	0.0	80	1.0
ENSG00000265322.1	MIR3118-2	0.0	0.0	79	1.0
ENSG00000122674.12	CCZ1	0.038461538461538464	0.0	78	1.0
ENSG00000215811.7	BTNL10P	0.038461538461538464	0.0	78	1.0
ENSG00000230635.2	CYP4F60P	0.038461538461538464	0.0	78	1.0
ENSG00000255839.1	ENSG00000255839	0.038461538461538464	0.0	78	1.0
ENSG00000293430.1	ENSG00000293430	0.038461538461538464	0.0	78	1.0
ENSG00000266994.1	ENSG00000266994	0.1038961038961039	0.0	77	1.0
ENSG00000175509.8	ACRP1	0.05194805194805195	0.0	77	1.0
ENSG00000233479.1	ENSG00000233479	0.05194805194805195	0.0	77	1.0
ENSG00000248235.6	ENSG00000248235	0.06578947368421052	0.0	76	1.0
ENSG00000165071.15	TMEM71	0.0	0.0	76	1.0
ENSG00000252332.1	RNU6-911P	0.16	0.0	75	1.0
ENSG00000172940.13	SLC22A13	0.05333333333333334	0.0	75	1.0
ENSG00000259508.1	ENSG00000259508	0.06756756756756757	0.0	74	1.0
ENSG00000256683.7	ZNF350	0.05405405405405406	0.0	74	1.0
ENSG00000263361.1	MIR378H	0.05405405405405406	0.0	74	1.0
ENSG00000230062.7	ANKRD66	0.013513513513513514	0.0	74	1.0
ENSG00000224008.1	LINC01441	0.0	0.0	74	1.0
ENSG00000202058.1	RN7SKP80	0.1232876712328767	0.0	73	1.0
ENSG00000124787.14	RPP40	0.0684931506849315	0.0	73	1.0
ENSG00000228339.1	AMD1P1	0.0684931506849315	0.0	73	1.0
ENSG00000272142.4	LYRM4-AS1	0.0684931506849315	0.0	73	1.0
ENSG00000253896.3	ENSG00000253896	0.0273972602739726	0.0	73	1.0
ENSG00000207322.1	RNU1-89P	0.0	0.0	73	1.0
ENSG00000254174.1	IGHV1-12	0.0	0.0	73	1.0
ENSG00000254215.1	IGHVIII-11-1	0.0	0.0	73	1.0
ENSG00000132010.16	ZNF20	0.125	0.0	72	1.0
ENSG00000135702.15	CHST5	0.1111111111111111	0.0	72	1.0
ENSG00000072832.15	CRMP1	0.09722222222222222	0.0	72	1.0
ENSG00000289414.2	ENSG00000289414	0.09722222222222222	0.0	72	1.0
ENSG00000138175.9	ARL3	0.027777777777777776	0.0	72	1.0
ENSG00000155827.12	RNF20	0.027777777777777776	0.0	72	1.0
ENSG00000165152.9	PGAP4	0.027777777777777776	0.0	72	1.0
ENSG00000276673.1	ENSG00000276673	0.027777777777777776	0.0	72	1.0
ENSG00000259833.5	ENSG00000259833	0.0	0.0	72	1.0
ENSG00000161944.17	ASGR2	0.08450704225352113	0.0	71	1.0
ENSG00000156398.13	SFXN2	0.028169014084507043	0.0	71	1.0
ENSG00000185775.10	SPATA31A6	0.014084507042253521	0.0	71	1.0
ENSG00000212625.1	RNA5SP397	0.014084507042253521	0.0	71	1.0
ENSG00000235578.1	ENSG00000235578	0.014084507042253521	0.0	71	1.0
ENSG00000212612.1	RNU6-1239P	0.0	0.0	71	1.0
ENSG00000257943.3	ENSG00000257943	0.0	0.0	71	1.0
ENSG00000237556.1	KCND3-AS1	0.014285714285714285	0.0	70	1.0
ENSG00000101346.15	POFUT1	0.07246376811594203	0.0	69	1.0
ENSG00000126003.7	PLAGL2	0.07246376811594203	0.0	69	1.0
ENSG00000240174.1	ENSG00000240174	0.028985507246376812	0.0	69	1.0
ENSG00000265927.1	ENSG00000265927	0.028985507246376812	0.0	69	1.0
ENSG00000199562.1	RNU6-37P	0.014492753623188406	0.0	69	1.0
ENSG00000285823.1	LINC02793	0.04411764705882353	0.0	68	1.0
ENSG00000008118.10	CAMK1G	0.014705882352941176	0.0	68	1.0
ENSG00000171202.7	TMEM126A	0.014705882352941176	0.0	68	1.0
ENSG00000125731.13	SH2D3A	0.05970149253731343	0.0	67	1.0
ENSG00000169800.14	RBMY1F	0.16666666666666666	0.0	66	1.0
ENSG00000277553.1	ENSG00000277553	0.09230769230769231	0.0	65	1.0
ENSG00000260165.1	ENSG00000260165	0.03076923076923077	0.0	65	1.0
ENSG00000280725.2	LINC00251	0.0	0.0	65	1.0
ENSG00000244712.1	RPL29P27	0.078125	0.0	64	1.0
ENSG00000229343.1	CDY22P	0.046875	0.0	64	1.0
ENSG00000230291.5	ENSG00000230291	0.046875	0.0	64	1.0
ENSG00000141026.6	MED9	0.03125	0.0	64	1.0
ENSG00000214110.3	LDHAP4	0.03125	0.0	64	1.0
ENSG00000129595.14	EPB41L4A	0.015625	0.0	64	1.0
ENSG00000278921.2	EPB41L4A-DT	0.015625	0.0	64	1.0
ENSG00000237399.7	PITRM1-AS1	0.12698412698412698	0.0	63	1.0
